vtype,vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,purity,denom,callerset
snv,10-20%,lc,361,0.3988919667590028,5910,0.1712351945854484,0.2276567721735544,0.17749424097480743,0.2798303900524828,5.3606178888897205e-27,3.2163707333338324e-26,True,True,1.0,truth,shared4
snv,>=20%,lc,1762,0.23723041997729852,26268,0.06848637125019034,0.1687440487271082,0.14921635573848596,0.18938248262258062,6.716192336417527e-142,5.372953869134021e-141,True,True,1.0,truth,shared4
indel,<5%,lc,669,1.0,690,0.9971014492753624,0.0028985507246376274,-0.0031858619567781713,0.01050626642293151,0.499751289878961,1.0,True,False,1.0,union,native
indel,5-10%,lc,602,0.9966777408637874,511,0.8434442270058709,0.1532335138579165,0.12302042403712654,0.18737450356397592,2.7561507455596e-26,1.10246029822384e-25,True,True,1.0,union,native
indel,10-20%,lc,729,0.9615912208504801,593,0.5699831365935919,0.3916080842568882,0.34899551313095384,0.43344958448315896,2.7853874693888386e-66,1.3926937346944192e-65,True,True,1.0,union,native
indel,>=20%,lc,18390,0.8665035345296357,6608,0.5092312348668281,0.3572722996628076,0.344234167483748,0.3702625408301262,0.0,0.0,True,True,1.0,union,native
snv,<5%,lc,3734,1.0,6976,1.0,0.0,-0.0010277211762494964,0.0005503647673601453,1.0,1.0,False,False,1.0,union,native
snv,5-10%,lc,1672,1.0,5900,1.0,0.0,-0.0022922567051166798,0.0006506710668787719,1.0,1.0,False,False,1.0,union,native
snv,10-20%,lc,13885,0.9851638458768455,8686,0.548468800368409,0.4366950455084365,0.4260344054921098,0.44734701125781196,0.0,0.0,True,True,1.0,union,native
snv,>=20%,lc,47606,0.9114397344872495,120543,0.3972773201264279,0.5141624143608216,0.5103765167399358,0.5178984470621965,0.0,0.0,True,True,1.0,union,native
indel,<5%,lc,669,1.0,690,0.9971014492753624,0.0028985507246376274,-0.0031858619567781713,0.01050626642293151,0.499751289878961,0.499751289878961,True,False,1.0,union,shared4
indel,5-10%,lc,602,0.9966777408637874,511,0.8434442270058709,0.1532335138579165,0.12302042403712654,0.18737450356397592,2.7561507455596e-26,8.2684522366788e-26,True,True,1.0,union,shared4
indel,10-20%,lc,729,0.9615912208504801,593,0.5699831365935919,0.3916080842568882,0.34899551313095384,0.43344958448315896,2.7853874693888386e-66,1.1141549877555354e-65,True,True,1.0,union,shared4
indel,>=20%,lc,18390,0.8665035345296357,6608,0.5092312348668281,0.3572722996628076,0.344234167483748,0.3702625408301262,0.0,0.0,True,True,1.0,union,shared4
snv,<5%,lc,1035,1.0,6976,0.9941227064220184,0.005877293577981613,0.0018709207726593504,0.007962966715781228,0.007810391725318782,0.015620783450637565,True,True,1.0,union,shared4
snv,5-10%,lc,1365,0.9582417582417583,5897,0.6889944039342039,0.2692473543075544,0.25252375475039096,0.28443226851384507,1.9691392175872358e-92,9.845696087936179e-92,True,True,1.0,union,shared4
snv,10-20%,lc,1689,0.8283007696862048,7439,0.2622664336604382,0.5660343360257666,0.5447511905543202,0.5858960383966747,0.0,0.0,True,True,1.0,union,shared4
snv,>=20%,lc,13580,0.6890279823269514,106607,0.3184312474790586,0.3705967348478928,0.36227272235898655,0.37881570642740403,0.0,0.0,True,True,1.0,union,shared4
indel,<5%,lc,596,1.0,587,0.9965928449744463,0.0034071550255536653,-0.0034576121531638866,0.012336817475235518,0.24599908746726393,0.7379972624017918,True,False,1.0,union_hc,native
indel,5-10%,lc,495,0.9959595959595959,407,0.8157248157248157,0.18023478023478023,0.14400453751917752,0.2208988121168145,2.09412073560792e-25,8.37648294243168e-25,True,True,1.0,union_hc,native
indel,10-20%,lc,403,0.9528535980148883,453,0.49448123620309054,0.4583723618117978,0.4059622983925458,0.507142580062377,8.546476912220189e-49,4.2732384561100945e-48,True,True,1.0,union_hc,native
indel,>=20%,lc,1466,0.8915416098226466,1153,0.3417172593235039,0.5498243504991427,0.5172104488987309,0.58049993407676,7.183569684762804e-188,4.310141810857682e-187,True,True,1.0,union_hc,native
snv,<5%,lc,618,1.0,3694,1.0,0.0,-0.0061775534040129365,0.001038838160984601,1.0,1.0,False,False,1.0,union_hc,native
snv,5-10%,lc,937,1.0,4284,1.0,0.0,-0.004083003342039482,0.0008958957222617858,1.0,1.0,False,False,1.0,union_hc,native
snv,10-20%,lc,10137,0.9824405642695078,7049,0.4925521350546177,0.48988842921489006,0.4778980167007164,0.5017925113223521,0.0,0.0,True,True,1.0,union_hc,native
snv,>=20%,lc,21183,0.9368361421894916,31370,0.21679948995855913,0.7200366522309325,0.7143472302736776,0.7255773225995372,0.0,0.0,True,True,1.0,union_hc,native
indel,<5%,lc,596,1.0,587,0.9965928449744463,0.0034071550255536653,-0.0034576121531638866,0.012336817475235518,0.24599908746726393,0.24599908746726393,True,False,1.0,union_hc,shared4
indel,5-10%,lc,495,0.9959595959595959,407,0.8157248157248157,0.18023478023478023,0.14400453751917752,0.2208988121168145,2.09412073560792e-25,6.28236220682376e-25,True,True,1.0,union_hc,shared4
indel,10-20%,lc,403,0.9528535980148883,453,0.49448123620309054,0.4583723618117978,0.4059622983925458,0.507142580062377,8.546476912220189e-49,3.4185907648880756e-48,True,True,1.0,union_hc,shared4
indel,>=20%,lc,1466,0.8915416098226466,1153,0.3417172593235039,0.5498243504991427,0.5172104488987309,0.58049993407676,7.183569684762804e-188,4.310141810857682e-187,True,True,1.0,union_hc,shared4
snv,<5%,lc,618,1.0,3694,0.9907958852192745,0.00920411478072547,0.0024978277441352137,0.01283383355536405,0.011041520748184253,0.022083041496368506,True,True,1.0,union_hc,shared4
snv,5-10%,lc,935,0.9454545454545454,4284,0.6136788048552755,0.33177574059926995,0.3098560959358047,0.351260914436474,3.646197251404189e-85,1.8230986257020947e-84,True,True,1.0,union_hc,shared4
snv,10-20%,lc,919,0.7236126224156693,6082,0.17773758632028938,0.5458750360953799,0.5145025345859003,0.5753526901830958,1.054624764718964e-277,7.382373353032748e-277,True,True,1.0,union_hc,shared4
snv,>=20%,lc,2379,0.4371584699453552,26645,0.07791330455995496,0.3592451653854002,0.3391601627535295,0.3795107756709869,0.0,0.0,True,True,1.0,union_hc,shared4
indel,<5%,lc,19,0.8421052631578947,177,0.576271186440678,0.2658340767172167,0.03697121950205692,0.3922100297258511,0.026846988575883333,0.08054096572765,True,False,0.75,truth,native
