all,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_MuTect2,rate_SomaticSniper,rate_VarDict,rate_MuSE,rate_Strelka,vtype,grouping,run,flags,callerset,denom,vaf_bin,lc
all,39446,5,30511,0.7734878061146885,0.769330633284179,0.777591716771952,0.9457232672514323,0.9135679156314962,38741,0.212436436849849,0.00986158292349034,0.8968558700801147,0.37272018951658537,0.9605790194189525,0.8019317548040359,0.9535314100289003,0.8948689347462354,0.9569284591593571,snv,all,NV_T_1,strict,native,truth,,
,1292,5,3,0.0023219814241486067,0.0007899905644007492,0.006804656723432237,0.30727554179566563,0.3382352941176471,914,0.9967177242888403,0.12229102167182662,0.23725089963195214,0.1483142639206713,0.6958204334365325,0.0023219814241486067,0.3506191950464396,0.0936532507739938,0.5487616099071208,snv,vaf_bin,NV_T_1,strict,native,truth,<5%,
,3853,5,119,0.03088502465611212,0.025872297866195507,0.03683223935754662,0.7235920062289125,0.5980275110303659,3557,0.9665448411582794,0.051388528419413444,0.4323668369416412,0.07830171758757457,0.9018946275629379,0.03270179081235401,0.7796522190500909,0.4689852063327277,0.8069037113937192,snv,vaf_bin,NV_T_1,strict,native,truth,5-10%,
,6271,5,3377,0.5385106043693191,0.5261524160064943,0.5508216403373574,0.9749641205549354,0.8776271726997289,6243,0.45907416306263016,0.004943390208898103,0.7903596543098808,0.053885036852130565,0.968745016743741,0.5673736246212725,0.9861266145750279,0.8985807686174454,0.9673098389411577,snv,vaf_bin,NV_T_1,strict,native,truth,10-20%,
,28030,5,27012,0.9636817695326436,0.9614273511851781,0.9658091118654872,0.9991437745272922,0.9915019621833749,28027,0.036215078317336856,7.135212272565108e-05,0.9845308960020944,0.08288643499815855,0.9790224759186585,0.9970032108455227,0.9979307884409562,0.9895112379593293,0.9940420977524081,snv,vaf_bin,NV_T_1,strict,native,truth,>=20%,
,37058,5,28817,0.77761886772087,0.7733563251921944,0.7818238598739453,0.946111500890496,0.914787630201306,36394,0.2081936582953234,0.00976847104538831,0.898924500350564,0.37726665958085903,0.962922985590156,0.800960656268552,0.9541259647039776,0.8967564358573048,0.95917210858654,snv,lc,NV_T_1,strict,native,truth,,False
,2388,5,1694,0.7093802345058626,0.6908445099680743,0.7272434014660946,0.9396984924623115,0.8946398659966499,2347,0.2782275244993609,0.011306532663316583,0.864619773834422,0.3118350737269864,0.9242043551088778,0.817001675041876,0.9443048576214406,0.8655778894472361,0.9221105527638191,snv,lc,NV_T_1,strict,native,truth,,True
,1242,5,3,0.0024154589371980675,0.0008218066091337951,0.007077640588593908,0.30998389694041867,0.3391304347826087,879,0.9965870307167235,0.1215780998389694,0.2383780009677785,0.14893849652621635,0.6972624798711755,0.0024154589371980675,0.3502415458937198,0.09420289855072464,0.5515297906602254,snv,vaf_bin+lc,NV_T_1,strict,native,truth,<5%,False
,50,5,0,0.0,6.938893903907228e-18,0.07134759913335872,0.24,0.316,35,1.0,0.14,0.2086948300741404,0.13020948996964962,0.66,0.0,0.36,0.08,0.48,snv,vaf_bin+lc,NV_T_1,strict,native,truth,<5%,True
,3638,5,114,0.031335898845519516,0.026150276785338905,0.03751022613390935,0.7262231995601979,0.6002199010445299,3364,0.9661117717003567,0.05057724024189115,0.43388723747947405,0.07647525377194248,0.9046179219351292,0.032985156679494226,0.7809235843870258,0.47058823529411764,0.8119846069268829,snv,vaf_bin+lc,NV_T_1,strict,native,truth,5-10%,False
,215,5,5,0.023255813953488372,0.009973457135895241,0.053275339025873183,0.6790697674418604,0.5609302325581396,193,0.9740932642487047,0.06511627906976744,0.40547739258477355,0.10295802063130662,0.8558139534883721,0.027906976744186046,0.7581395348837209,0.4418604651162791,0.7209302325581395,snv,vaf_bin+lc,NV_T_1,strict,native,truth,5-10%,True
,5910,5,3221,0.5450084602368866,0.5322875857384476,0.5576708623708612,0.9776649746192894,0.8806768189509306,5884,0.4525832766825289,0.004230118443316413,0.7942319317504073,0.04951796099381315,0.9717428087986464,0.5690355329949238,0.9888324873096447,0.9021996615905246,0.9715736040609138,snv,vaf_bin+lc,NV_T_1,strict,native,truth,10-20%,False
,361,5,156,0.43213296398891965,0.38201159484642555,0.48368349321076354,0.9307479224376731,0.8277008310249307,359,0.5654596100278552,0.01662049861495845,0.7258447834514138,0.08901952934998285,0.9196675900277008,0.5401662049861495,0.9418282548476454,0.8393351800554016,0.8975069252077562,snv,vaf_bin+lc,NV_T_1,strict,native,truth,10-20%,True
