vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,run,flags,callerset,denom
10-20%,vtype,3465,0.8883116883116883,21730,0.7380119650253106,0.15029972328637764,0.13793241964341932,0.1619568594471738,5.321126012680636e-82,1.596337803804191e-81,True,True,NS_T_1,strict,shared3,union_hc
>=20%,vtype,3515,0.7786628733997155,35889,0.3005934966145616,0.47806937678515393,0.4632577215028885,0.49229206849282964,0.0,0.0,True,True,NS_T_1,strict,shared3,union_hc
<5%,vtype,10664,0.9875281320330083,24260,0.9993404781533388,-0.011812346120330552,-0.014115165288079237,-0.009831401604386274,3.00800396111463e-54,6.01600792222926e-54,False,False,NS_380X,strict,shared3,union_hc
5-10%,vtype,2687,0.9181243021957574,17962,0.8058122703485135,0.11231203184724381,0.09993758823410191,0.12370782901993906,2.879882810623144e-45,2.879882810623144e-45,True,True,NS_380X,strict,shared3,union_hc
10-20%,vtype,1410,0.750354609929078,8717,0.36365722152116553,0.38669738840791246,0.3613251998609347,0.4107787248119498,5.7539638043378955e-164,1.7261891413013688e-163,True,True,NS_380X,strict,shared3,union_hc
>=20%,vtype,2384,0.7575503355704698,34659,0.41798667012897084,0.33956366544149896,0.3212027290306106,0.35712607138020597,1.0361277813179584e-228,4.1445111252718334e-228,True,True,NS_380X,strict,shared3,union_hc
<5%,vtype,102,0.7549019607843137,1292,0.9922600619195047,-0.23735810113519096,-0.3291455628692644,-0.1638581538811215,3.743124766047138e-47,1.1229374298141413e-46,False,False,IL_T_1,lenient,native,truth
5-10%,vtype,287,0.3693379790940767,3853,0.9104593822995068,-0.5411214032054301,-0.5955741258338192,-0.48313062940406093,2.5675833420341135e-154,1.0270333368136454e-153,False,False,IL_T_1,lenient,native,truth
10-20%,vtype,422,0.17298578199052134,6271,0.35098070483176524,-0.1779949228412439,-0.21316464398796098,-0.13727731106144075,1.1734632293340354e-13,1.1734632293340354e-13,False,False,IL_T_1,lenient,native,truth
>=20%,vtype,814,0.09705159705159705,28030,0.0346414555833036,0.06241014146829345,0.043795292339748645,0.08477597017942076,1.740389736725613e-20,3.480779473451226e-20,True,True,IL_T_1,lenient,native,truth
<5%,vtype,102,0.6274509803921569,1292,0.9938080495356038,-0.3663570691434469,-0.46325590530845034,-0.27855401268156516,5.45361875309235e-86,1.636085625927705e-85,False,False,NV_T_1,lenient,native,truth
5-10%,vtype,287,0.20905923344947736,3853,0.9351154944199325,-0.7260562609704551,-0.7697279125386813,-0.674660967449163,8.842271954053235e-301,3.536908781621294e-300,False,False,NV_T_1,lenient,native,truth
10-20%,vtype,422,0.14454976303317535,6271,0.36214319885185775,-0.2175934358186824,-0.2502171597621076,-0.1789847501877562,1.7481616794979244e-19,1.7481616794979244e-19,False,False,NV_T_1,lenient,native,truth
>=20%,vtype,814,0.12776412776412777,28030,0.033927934356047094,0.09383619340808066,0.0725267836606863,0.11861568723274844,2.568797262738443e-44,5.137594525476886e-44,True,True,NV_T_1,lenient,native,truth
<5%,vtype,102,0.8137254901960784,1292,0.9961300309597523,-0.18240454076367385,-0.26885965031220593,-0.11854223973307475,5.227333887932225e-40,1.5682001663796675e-39,False,False,FD_T_1,lenient,native,truth
5-10%,vtype,287,0.4076655052264808,3853,0.9050090838307812,-0.49734357860430034,-0.5533175425093707,-0.4388321048461511,1.5269825080958802e-128,6.107930032383521e-128,False,False,FD_T_1,lenient,native,truth
10-20%,vtype,422,0.18009478672985782,6271,0.42002870355605165,-0.23993391682619383,-0.2758186410169373,-0.19860678797686288,4.1188709429172004e-22,8.237741885834401e-22,False,False,FD_T_1,lenient,native,truth
>=20%,vtype,814,0.08353808353808354,28030,0.036924723510524435,0.0466133600275591,0.02935543841681764,0.06774255020013309,1.5464415082758813e-11,1.5464415082758813e-11,True,True,FD_T_1,lenient,native,truth
<5%,vtype,102,0.7549019607843137,1292,0.9976780185758514,-0.24277605779153766,-0.3345083947366665,-0.16942247608408043,5.640453604829147e-27,1.1280907209658295e-26,False,False,NS_T_1,lenient,native,truth
5-10%,vtype,287,0.4250871080139373,3853,0.9519854658707501,-0.5268983578568127,-0.5830877860082996,-0.46863751966227435,6.779400646615024e-209,2.7117602586460094e-208,False,False,NS_T_1,lenient,native,truth
10-20%,vtype,422,0.1872037914691943,6271,0.47073831924732895,-0.28353452777813465,-0.320028490861675,-0.2416980014123922,1.7279046352501992e-29,5.183713905750597e-29,False,False,NS_T_1,lenient,native,truth
>=20%,vtype,814,0.12530712530712532,28030,0.11337852301105958,0.011928602296065738,-0.009404148054299278,0.03671794198944503,0.3169265145790567,0.3169265145790567,True,False,NS_T_1,lenient,native,truth
<5%,vtype,102,0.6078431372549019,1292,1.0,-0.3921568627450981,-0.4891667609232768,-0.30292592544848534,9.116995055427675e-50,1.823399011085535e-49,False,False,NS_380X,lenient,native,truth
5-10%,vtype,287,0.25435540069686413,3853,0.9987023098883987,-0.7443469091915346,-0.791263615649549,-0.6909188675529041,0.0,0.0,False,False,NS_380X,lenient,native,truth
10-20%,vtype,422,0.21800947867298578,6271,0.6231860947217349,-0.4051766160487491,-0.44381416198777646,-0.3616295692415281,2.7245372067232115e-60,8.173611620169634e-60,False,False,NS_380X,lenient,native,truth
>=20%,vtype,814,0.31203931203931207,28030,0.3331073849447021,-0.021068072905390034,-0.05244459038834273,0.012040276514490342,0.2224584080207279,0.2224584080207279,False,False,NS_380X,lenient,native,truth
<5%,vtype,21471,0.9985096176237716,111435,1.0,-0.0014903823762284496,-0.0021031567594856915,-0.001054591113114117,4.5439054492197913e-26,9.087810898439583e-26,False,False,IL_T_1,lenient,native,union
5-10%,vtype,8451,0.9719559815406461,96612,0.9999482465946259,-0.02799226505397978,-0.03173250093200484,-0.024680285997419643,0.0,0.0,False,False,IL_T_1,lenient,native,union
10-20%,vtype,8371,0.9199617727870028,58936,0.9158069770598616,0.0041547957271411695,-0.002247867041836156,0.010217523820452372,0.20640100166481257,0.20640100166481257,True,False,IL_T_1,lenient,native,union
>=20%,vtype,22579,0.6824482926613225,186043,0.5150153459146541,0.1674329467466683,0.16092152366143136,0.17388644988335128,0.0,0.0,True,True,IL_T_1,lenient,native,union
