all,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_MuTect2,rate_SomaticSniper,rate_VarDict,rate_MuSE,rate_Strelka,rate_TNscope,vtype,grouping,denom,callerset,vaf_bin,lc
,361,6,155,0.4293628808864266,0.37931000771176404,0.4809032472049022,0.8337950138504155,0.7843951985226223,344,0.5494186046511628,0.0110803324099723,0.7330744851498611,0.2929535323083364,0.8947368421052632,0.556786703601108,0.889196675900277,0.8282548476454293,0.8587257617728532,0.6786703601108033,snv,vaf_bin+lc,truth,native,10-20%,True
,26268,6,24680,0.9395462159281255,0.9365993639338523,0.9423645273561863,0.9952413583066849,0.986618699558398,26259,0.06013176434746182,0.00030455306837216383,0.977332735267539,0.14310931657937415,0.9838967565098219,0.9894167808740673,0.9769681742043551,0.9896832648088929,0.992614588091975,0.9871326328612761,snv,vaf_bin+lc,truth,native,>=20%,False
,1762,6,1463,0.8303064699205448,0.8120656745872006,0.8471101501651357,0.9648127128263337,0.9500567536889898,1757,0.16733067729083664,0.003972758229284903,0.9286736696908257,0.25921490894609106,0.9296254256526674,0.9540295119182747,0.9585698070374574,0.9477866061293984,0.9523269012485811,0.9580022701475596,snv,vaf_bin+lc,truth,native,>=20%,True
all,1625,4,1070,0.6584615384615384,0.6350548035367907,0.6811208421720727,0.8529230769230769,0.8503076923076923,1568,0.31760204081632654,0.04,0.8224282862872019,0.350939264613536,0.916923076923077,,0.916923076923077,,0.84,0.7273846153846154,indel,all,truth,native,,
,102,4,9,0.08823529411764706,0.04711555975757313,0.1592445855395142,0.27450980392156865,0.4019607843137255,73,0.8767123287671232,0.18627450980392157,0.3706458978336344,0.25909636145541787,0.6568627450980392,,0.5784313725490197,,0.24509803921568626,0.12745098039215685,indel,vaf_bin,truth,native,<5%,
,287,4,111,0.3867595818815331,0.33226521856319624,0.44424532342224676,0.6898954703832753,0.7134146341463414,264,0.5795454545454546,0.0627177700348432,0.6525470693675602,0.27997298210064164,0.8850174216027874,,0.867595818815331,,0.6515679442508711,0.44947735191637633,indel,vaf_bin,truth,native,5-10%,
,422,4,252,0.5971563981042654,0.5496877596812739,0.6428721667925059,0.8744075829383886,0.8518957345971564,418,0.39712918660287083,0.045023696682464455,0.7805069942748829,0.17360778859527115,0.9597156398104265,,0.933649289099526,,0.8601895734597157,0.6540284360189573,indel,vaf_bin,truth,native,10-20%,
,814,4,698,0.8574938574938575,0.8317981709266898,0.8798311965050233,0.9717444717444718,0.9539312039312039,813,0.14145141451414514,0.011056511056511056,0.9260279253636275,0.16602418258567667,0.9385749385749386,,0.9680589680589681,,0.9705159705159705,0.9385749385749386,indel,vaf_bin,truth,native,>=20%,
,89,4,9,0.10112359550561797,0.054118546891964145,0.1811368993077429,0.25842696629213485,0.38764044943820225,61,0.8524590163934426,0.1797752808988764,0.388974546534173,0.29787705535611386,0.6404494382022472,,0.5393258426966292,,0.2247191011235955,0.14606741573033707,indel,vaf_bin+lc,truth,native,<5%,False
,13,4,0,0.0,0.0,0.22809537235419838,0.38461538461538464,0.5,12,1.0,0.23076923076923078,0.2840909090909091,-0.02564102564102566,0.7692307692307693,,0.8461538461538461,,0.38461538461538464,0.0,indel,vaf_bin+lc,truth,native,<5%,True
,255,4,99,0.38823529411764707,0.33050030034486855,0.4492876816125144,0.7058823529411765,0.7245098039215686,237,0.5822784810126582,0.054901960784313725,0.6527622753622877,0.25175407759837076,0.8941176470588236,,0.8901960784313725,,0.6627450980392157,0.45098039215686275,indel,vaf_bin+lc,truth,native,5-10%,False
,32,4,12,0.375,0.22933887309454212,0.5474559264692255,0.5625,0.625,27,0.5555555555555556,0.125,0.6521491391056607,0.44444444444444453,0.8125,,0.6875,,0.5625,0.4375,indel,vaf_bin+lc,truth,native,5-10%,True
