vtype,hypothesis,vaf_bin,threshold,n,all_agree,lo,hi,p_one_sided,supported,p_holm,supported_holm,run,flags,callerset,denom
snv,H2,<5%,0.5,5511,0.0,0.0,0.0006965674080348978,0.0,True,0.0,True,NS_T_1,strict,native,union_hc
pooled,H1,>=20%,0.8,41390,0.618869292099541,0.6141796396683746,0.6235368817564128,1.0,False,1.0,False,NS_T_1,strict,native,union_hc
pooled,H2,<5%,0.5,14206,0.0007039279177812192,0.00038241595793094013,0.0012953971893716041,0.0,True,0.0,True,NS_T_1,strict,native,union_hc
indel,H1,>=20%,0.8,2384,0.2424496644295302,0.22566956137720376,0.26005843975797877,1.0,False,1.0,False,NS_380X,strict,native,union_hc
indel,H2,<5%,0.5,10664,0.012471867966991748,0.010534159771715542,0.014760691099692564,0.0,True,0.0,True,NS_380X,strict,native,union_hc
snv,H1,>=20%,0.8,40544,0.46433504340962906,0.4594841215748824,0.4691927229635121,1.0,False,1.0,False,NS_380X,strict,native,union_hc
snv,H2,<5%,0.5,31455,0.0,1.3552527156068805e-20,0.00012211062590218255,0.0,True,0.0,True,NS_380X,strict,native,union_hc
pooled,H1,>=20%,0.8,42928,0.4520126723816623,0.4473091545788509,0.45672477781252296,1.0,False,1.0,False,NS_380X,strict,native,union_hc
pooled,H2,<5%,0.5,42119,0.0031577197939172347,0.002665334178600492,0.003740726036603443,0.0,True,0.0,True,NS_380X,strict,native,union_hc
indel,H1,>=20%,0.8,814,0.8955773955773956,0.8726785363580684,0.914760145129944,1.5391659904182036e-13,True,3.078331980836407e-13,True,IL_T_1,strict,shared3,truth
indel,H2,<5%,0.5,102,0.23529411764705882,0.16352093227112996,0.32628201827699754,3.8397150765134964e-08,True,3.8397150765134964e-08,True,IL_T_1,strict,shared3,truth
snv,H1,>=20%,0.8,28030,0.9721369960756332,0.970144644816397,0.9739999540920051,0.0,True,0.0,True,IL_T_1,strict,shared3,truth
snv,H2,<5%,0.5,1292,0.23142414860681115,0.20924399324892207,0.25519666399661145,1.582269022836441e-87,True,4.746807068509323e-87,True,IL_T_1,strict,shared3,truth
pooled,H1,>=20%,0.8,28844,0.969976424906393,0.9679435865996343,0.9718840964768084,0.0,True,0.0,True,IL_T_1,strict,shared3,truth
pooled,H2,<5%,0.5,1394,0.23170731707317074,0.21031400535600459,0.2545752384992613,4.450103700946931e-94,True,4.450103700946931e-94,True,IL_T_1,strict,shared3,truth
indel,H1,>=20%,0.8,814,0.8648648648648649,0.8396585008928058,0.8866436370014169,8.270429497591854e-07,True,1.6540858995183708e-06,True,NV_T_1,strict,shared3,truth
indel,H2,<5%,0.5,102,0.37254901960784315,0.2849497607818803,0.4693998080005515,0.006460225955563098,True,0.006460225955563098,True,NV_T_1,strict,shared3,truth
snv,H1,>=20%,0.8,28030,0.9725651088119872,0.9705871258906575,0.9744135811624404,0.0,True,0.0,True,NV_T_1,strict,shared3,truth
